time,participant,order,category,comment_timestamp,participant_name,id,N_window,Prop_NA,Prop_Overlap,w_size_set
0:00:00,participant01,1,The others,0,participant_test_01,1,2,1,NA,1.5
0:00:04,participant01,1,The others,4000000,participant_test_01,2,3,1,NA,1.5
0:00:05,participant01,1,The others,5000000,participant_test_01,3,3,1,NA,1.5
0:00:06,participant01,1,The others,6000000,participant_test_01,4,3,1,NA,1.5
0:00:07,participant01,1,The others,7000000,participant_test_01,5,3,1,NA,1.5
0:00:08,participant01,1,The others,8000000,participant_test_01,6,3,1,NA,1.5
0:00:09,participant01,1,The others,9000000,participant_test_01,7,3,1,NA,1.5
0:00:11,participant01,1,The others,11000000,participant_test_01,8,3,1,NA,1.5
0:00:12,participant01,1,The others,12000000,participant_test_01,9,3,1,NA,1.5
0:00:13,participant01,1,The others,13000000,participant_test_01,10,3,1,NA,1.5
0:00:15,participant01,1,The others,15000000,participant_test_01,11,3,1,NA,1.5
0:00:16,participant01,1,The others,16000000,participant_test_01,12,3,1,NA,1.5
0:00:17,participant01,1,The others,17000000,participant_test_01,13,3,1,NA,1.5
0:00:18,participant01,1,The others,18000000,participant_test_01,14,3,1,NA,1.5
0:00:20,participant01,1,The others,20000000,participant_test_01,15,3,1,NA,1.5
0:00:22,participant01,1,Appropriate,22000000,participant_test_01,16,3,1,NA,1.5
0:00:25,participant01,1,The others,25000000,participant_test_01,17,3,1,NA,1.5
0:00:26,participant01,1,The others,26000000,participant_test_01,18,3,1,NA,1.5
0:00:30,participant01,1,Appropriate,30000000,participant_test_01,19,3,1,NA,1.5
0:00:31,participant01,1,The others,31000000,participant_test_01,20,3,1,NA,1.5
0:00:33,participant01,1,The others,33000000,participant_test_01,21,3,1,NA,1.5
0:00:36,participant01,1,Appropriate,36000000,participant_test_01,22,3,1,NA,1.5
0:00:38,participant01,1,The others,38000000,participant_test_01,23,3,1,NA,1.5
0:00:39,participant01,1,The others,39000000,participant_test_01,24,3,1,NA,1.5
0:00:39,participant01,1,The others,39000000,participant_test_01,25,3,1,NA,1.5
0:00:41,participant01,1,The others,41000000,participant_test_01,26,3,1,NA,1.5
0:00:42,participant01,1,The others,42000000,participant_test_01,27,3,1,NA,1.5
